1	14	20	31464	0.0503168	0.70
1	16	5	140725	0.2252723	0.80
1	13	0	38217	0.0611302	0.65
1	2	3	110261	0.1764912	0.10
1	7	2	49168	0.0786658	0.35
1	12	1	96074	0.1537740	0.60
1	16	5	150201	0.2404460	0.80
1	12	12	39745	0.0635763	0.60
1	14	3	67874	0.1086195	0.70
1	14	6	80197	0.1283510	0.70
1	11	20	113247	0.1812730	0.55
2	18	3	104092	0.1666135	0.90
1	12	5	20590	0.0329036	0.60
1	12	2	15678	0.0250395	0.60
1	12	4	43	0.0000038	0.60
1	15	4	46433	0.0742862	0.75
1	13	4	137014	0.2193299	0.65
1	15	5	29552	0.0472545	0.75
2	13	10	25141	0.0401916	0.65
2	12	3	37032	0.0592317	0.60
2	16	25	106069	0.1697786	0.80
1	14	2	60328	0.0965353	0.70
1	14	2	29846	0.0477255	0.70
1	9	10	22245	0.0355550	0.45
2	14	20	62715	0.1003580	0.70
1	16	2	40397	0.0646208	0.80
1	16	20	56125	0.0898054	0.80
1	17	7	79893	0.1278647	0.85
1	16	4	20761	0.0331777	0.80
1	8	20	12569	0.0200608	0.40
1	14	5	22795	0.0364351	0.70
1	20	15	70647	0.1130598	1.00
1	13	2	45869	0.0733822	0.65
1	16	10	59161	0.0946664	0.80
1	17	3	38160	0.0610388	0.85
2	14	10	35264	0.0564021	0.70
1	13	2	70355	0.1125914	0.65
1	10	2	45805	0.0732802	0.50
1	9	0	37873	0.0605799	0.45
1	14	3	40768	0.0652154	0.70
1	12	15	53301	0.0852828	0.60
1	12	15	88876	0.1422483	0.60
1	12	10	48631	0.0778057	0.60
1	15	12	65168	0.1042857	0.75
1	13	4	18198	0.0290743	0.65
1	17	20	39575	0.0633046	0.85
1	20	2	27397	0.0438038	1.00
1	13	3	67216	0.1075653	0.65
1	13	10	11416	0.0182138	0.65
1	16	3	33308	0.0532687	0.80
1	18	2	100030	0.1601086	0.90
1	14	20	39343	0.0629324	0.70
1	12	5	54198	0.0867192	0.60
1	8	20	13521	0.0215846	0.40
1	12	2	16724	0.0267141	0.60
2	9	2	11003	0.0175526	0.45
2	13	3	9694	0.0154565	0.65
2	11	8	5047	0.0080157	0.55
2	11	2	32387	0.0517942	0.55
2	15	10	137780	0.2205572	0.75
1	13	24	46780	0.0748416	0.65
1	14	2	62769	0.1004444	0.70
1	15	10	77866	0.1246184	0.75
1	13	12	98900	0.1582991	0.65
1	13	10	56301	0.0900867	0.65
1	11	10	42966	0.0687338	0.55
1	14	5	79273	0.1268721	0.70
1	13	3	71275	0.1140647	0.65
1	12	2	34580	0.0553067	0.60
1	12	40	29097	0.0465261	0.60
1	18	4	13604	0.0217185	0.90
1	7	6	3961	0.0062774	0.35
1	14	3	16563	0.0264560	0.70
1	12	4	8439	0.0134479	0.60
1	12	5	10328	0.0164726	0.60
1	12	20	67901	0.1086612	0.60
1	15	3	20531	0.0328091	0.75
1	16	10	70641	0.1130499	0.80
1	16	1	73336	0.1173651	0.80
1	17	20	62467	0.0999607	0.85
1	14	10	121215	0.1940317	0.70
1	12	2	6765	0.0107674	0.60
1	16	2	38029	0.0608282	0.80
1	13	2	31887	0.0509933	0.65
1	14	75	49511	0.0792152	0.70
2	13	5	52527	0.0840437	0.65
1	17	10	58069	0.0929175	0.85
1	12	3	9761	0.0155647	0.60
2	12	1	18106	0.0289271	0.60
1	14	10	320	0.0004459	0.70
1	2	2	23337	0.0373034	0.10
2	11	4	10211	0.0162852	0.55
2	15	4	16869	0.0269464	0.75
2	11	1	32729	0.0523418	0.55
2	12	2	22265	0.0355871	0.60
2	12	3	16282	0.0260057	0.60
2	12	2	9840	0.0156904	0.60
1	12	3	14993	0.0239422	0.60
1	11	1	10533	0.0168001	0.55
1	11	15	9767	0.0155734	0.55
2	12	2	21491	0.0343467	0.60
2	2	3	8407	0.0133965	0.10
1	15	10	10932	0.0174388	0.75
1	15	5	72881	0.1166356	0.75
1	16	15	141582	0.2266444	0.80
1	17	8	71356	0.1141950	0.85
1	20	5	181292	0.2902318	1.00
1	16	25	65057	0.1041073	0.80
1	13	5	51281	0.0820493	0.65
1	12	10	120785	0.1933432	0.60
1	14	10	64610	0.1033927	0.70
1	13	0	16234	0.0259300	0.65
1	10	5	16636	0.0265722	0.50
1	15	12	90972	0.1456045	0.75
1	16	15	46714	0.0747360	0.80
1	14	10	71705	0.1147534	0.70
1	12	10	38230	0.0611502	0.60
2	16	4	31213	0.0499143	0.80
1	12	25	55302	0.0884883	0.60
1	12	3	73070	0.1169386	0.60
1	12	4	51981	0.0831697	0.60
1	12	6	122966	0.1968356	0.60
1	12	5	29966	0.0479182	0.60
1	14	6	102115	0.1634483	0.70
1	17	15	95956	0.1535860	0.85
1	18	10	74837	0.1197691	0.90
1	16	5	155342	0.2486783	0.80
1	13	3	28213	0.0451116	0.65
1	12	12	30985	0.0495494	0.60
1	12	3	71606	0.1145942	0.60
1	12	5	24121	0.0385578	0.60
1	13	7	99063	0.1585604	0.65
1	12	3	81289	0.1300995	0.60
1	15	4	76650	0.1226713	0.75
1	12	10	12584	0.0200842	0.60
1	12	10	24873	0.0397629	0.60
1	15	10	13094	0.0209011	0.75
1	9	2	126245	0.2020871	0.45
1	16	4	64249	0.1028139	0.80
1	12	2	32324	0.0516932	0.60
1	16	20	46603	0.0745580	0.80
1	14	10	84902	0.1358845	0.70
1	14	10	76104	0.1217968	0.70
1	12	1	81013	0.1296578	0.60
1	16	4	42998	0.0687857	0.80
1	16	5	158584	0.2538697	0.80
1	20	10	488007	0.7813652	1.00
1	14	1	42248	0.0675847	0.70
1	17	25	92357	0.1478228	0.85
2	12	60	26362	0.0421462	0.60
1	16	12	47124	0.0753926	0.80
2	11	2	13816	0.0220570	0.55
1	12	1	4138	0.0065603	0.60
2	13	6	8956	0.0142752	0.65
2	14	5	12550	0.0200306	0.70
1	16	11	38353	0.0613477	0.80
1	13	3	123074	0.1970084	0.65
1	13	7	96391	0.1542814	0.65
1	12	5	127449	0.2040138	0.60
2	13	6	58957	0.0943403	0.65
2	14	6	107789	0.1725333	0.70
1	20	5	80749	0.1292355	1.00
1	2	1	23408	0.0374173	0.10
1	14	5	58982	0.0943796	0.70
1	17	2	90071	0.1441615	0.85
1	16	10	109132	0.1746833	0.80
1	14	3	46296	0.0740668	0.70
1	10	3	10873	0.0173449	0.50
1	16	8	142865	0.2286991	0.80
2	9	3	18010	0.0287726	0.45
1	14	6	44583	0.0713241	0.70
1	13	3	14027	0.0223949	0.65
1	13	2	35605	0.0569475	0.65
1	14	5	46379	0.0741992	0.70
1	14	1	19567	0.0312664	0.70
1	16	10	141689	0.2268170	0.80
1	14	1	100647	0.1610966	0.70
1	16	10	141297	0.2261889	0.80
1	14	10	120174	0.1923647	0.70
1	15	10	125402	0.2007366	0.75
2	11	3	55374	0.0886028	0.55
2	12	2	24038	0.0384249	0.60
1	12	3	104771	0.1677008	0.60
1	12	12	74472	0.1191837	0.60
2	14	4	20671	0.0330342	0.70
1	16	15	151280	0.2421738	0.80
1	20	8	2872	0.0045335	1.00
1	12	10	65119	0.1042073	0.60
1	16	11	65758	0.1052299	0.80
1	2	3	25806	0.0412558	0.10
1	14	15	62901	0.1006558	0.70
1	12	4	50212	0.0803376	0.60
2	12	0	74217	0.1187757	0.60
1	12	2	53512	0.0856205	0.60
1	13	15	124043	0.1985604	0.65
1	14	13	57770	0.0924387	0.70
1	9	3	90384	0.1446638	0.45
1	10	15	45033	0.0720438	0.50
2	14	2	10613	0.0169281	0.70
2	14	10	14751	0.0235538	0.70
1	12	5	55288	0.0884658	0.60
1	9	1	36844	0.0589319	0.45
1	13	2	55361	0.0885822	0.65
1	16	20	32659	0.0522305	0.80
1	14	50	139074	0.2226283	0.70
1	16	6	13098	0.0209080	0.80
2	11	2	13696	0.0218653	0.55
2	14	2	18589	0.0296999	0.70
2	14	10	14610	0.0233291	0.70
2	15	2	20463	0.0327014	0.75
2	12	6	3063	0.0048394	0.60
2	12	10	5621	0.0089344	0.60
1	5	3	11543	0.0184173	0.25
2	14	0	75682	0.1211218	0.70
2	13	15	19380	0.0309665	0.65
1	16	1	7164	0.0114057	0.80
2	11	0	3440	0.0054426	0.55
2	14	3	4514	0.0071624	0.70
2	12	10	14803	0.0236370	0.60
2	11	1	3398	0.0053760	0.55
1	16	3	62321	0.0997267	0.80
1	16	10	150368	0.2407141	0.80
1	13	8	76464	0.1223734	0.65
1	18	5	460223	0.7368755	0.90
1	15	25	45469	0.0727426	0.75
1	16	40	41456	0.0663166	0.80
1	16	2	64107	0.1025868	0.80
1	11	4	112296	0.1797505	0.55
1	12	10	90351	0.1446107	0.60
1	20	3	214362	0.3431853	1.00
1	16	7	56653	0.0906504	0.80
1	10	4	58276	0.0932490	0.50
1	18	3	75248	0.1204264	0.90
1	19	3	63646	0.1018483	0.95
1	16	4	59472	0.0951644	0.80
1	17	2	80978	0.1296013	0.85
1	6	15	78155	0.1250815	0.30
1	14	25	59675	0.0954896	0.70
1	13	25	85649	0.1370818	0.65
1	15	4	35651	0.0570212	0.75
1	15	1	23625	0.0377635	0.75
1	12	20	125407	0.2007447	0.60
1	18	6	614625	0.9841147	0.90
1	13	8	48430	0.0774831	0.65
1	13	2	32078	0.0512997	0.65
1	14	4	101179	0.1619490	0.70
1	14	25	106163	0.1699293	0.70
1	14	15	42639	0.0682111	0.70
1	14	3	125132	0.2003043	0.70
1	13	25	39206	0.0627137	0.65
1	16	8	46763	0.0748151	0.80
1	15	5	56921	0.0910794	0.75
1	12	3	70074	0.1121416	0.60
1	12	3	64851	0.1037774	0.60
1	12	3	37014	0.0592041	0.60
1	18	8	146582	0.2346514	0.90
1	12	16	53681	0.0858914	0.60
1	14	4	81812	0.1309366	0.70
1	12	4	36782	0.0588322	0.60
1	16	5	83763	0.1340620	0.80
1	16	0	32966	0.0527223	0.80
1	18	10	624546	1.0000000	0.90
1	16	2	146199	0.2340382	0.80
1	12	20	45649	0.0730304	0.60
1	18	6	149567	0.2394318	0.90
1	17	20	297590	0.4764566	0.85
1	18	3	58007	0.0928195	0.90
2	16	3	39535	0.0632410	0.80
2	12	3	52003	0.0832044	0.60
